state,count,event type,study population,year
Alabama,9506,Mortality,4430141,1999
Alabama,19823,Incidence,4452173,2000
Alabama,9807,Mortality,4452173,2000
Alabama,21050,Incidence,4467634,2001
Alabama,9801,Mortality,4467634,2001
Alabama,21383,Incidence,4480089,2002
Alabama,9698,Mortality,4480089,2002
Alabama,20788,Incidence,4503491,2003
Alabama,9812,Mortality,4503491,2003
Alabama,22221,Incidence,4530729,2004
Alabama,9756,Mortality,4530729,2004
Alabama,22643,Incidence,4565917,2005
Alabama,9913,Mortality,4565917,2005
Alabama,23310,Incidence,4628981,2006
Alabama,9899,Mortality,4628981,2006
Alabama,24156,Incidence,4672840,2007
Alabama,10025,Mortality,4672840,2007
Alabama,124415,Incidence,23737435,2009
Alabama,50591,Mortality,23563366,2009
Alabama,25254,Incidence,4718206,2008
Alabama,10182,Mortality,4718206,2008
Alabama,25189,Incidence,4757938,2009
Alabama,10289,Mortality,4757938,2009
Alabama,25048,Incidence,4784762,2010
Alabama,10196,Mortality,4785401,2010
Alabama,24768,Incidence,4803689,2011
Alabama,10196,Mortality,4785401,2011
Alaska,1967,Incidence,624779,1999
Alaska,633,Mortality,624779,1999
Alaska,2054,Incidence,627963,2000
Alaska,704,Mortality,627963,2000
Alaska,2188,Incidence,633714,2001
Alaska,689,Mortality,633714,2001
Alaska,2239,Incidence,642337,2002
Alaska,715,Mortality,642337,2002
Alaska,2264,Incidence,648414,2003
Alaska,735,Mortality,648414,2003
Alaska,2433,Incidence,659286,2004
Alaska,728,Mortality,659286,2004
Alaska,2370,Incidence,666946,2005
Alaska,732,Mortality,666946,2005
Alaska,2496,Incidence,675302,2006
Alaska,790,Mortality,675302,2006
Alaska,2515,Incidence,680300,2007
Alaska,839,Mortality,680300,2007
Alaska,13207,Incidence,3504556,2009
Alaska,4275,Mortality,3456098,2009
Alaska,2670,Incidence,687455,2008
Alaska,867,Mortality,687455,2008
Alaska,2646,Incidence,698895,2009
Alaska,895,Mortality,698895,2009
Alaska,2744,Incidence,714046,2010
Alaska,884,Mortality,714146,2010
Alaska,2632,Incidence,723860,2011
Alaska,884,Mortality,714146,2011
Arizona,21174,Incidence,5023823,1999
Arizona,9006,Mortality,5023823,1999
Arizona,21930,Incidence,5160586,2000
Arizona,9073,Mortality,5160586,2000
Arizona,23136,Incidence,5273477,2001
Arizona,9142,Mortality,5273477,2001
Arizona,23272,Incidence,5396255,2002
Arizona,9359,Mortality,5396255,2002
Arizona,23570,Incidence,5510364,2003
Arizona,9625,Mortality,5510364,2003
Arizona,24105,Incidence,5652404,2004
Arizona,9618,Mortality,5652404,2004
Arizona,24535,Incidence,5839077,2005
Arizona,9820,Mortality,5839077,2005
Arizona,25653,Incidence,6029141,2006
Arizona,9918,Mortality,6029141,2006
